pixel_ID,doy_snowmelt
74.53958_-20.68699,150.70834860064
74.53958_-20.67136,151.151529273765
74.53958_-20.65573,150.916080402528
74.53958_-20.64009,148.430334740394
74.53958_-20.62446,150.725656202799
74.53958_-20.60883,159.826186737608
74.53958_-20.59320,159.187528295859
74.53958_-20.57757,155.083699506327
74.53958_-20.56194,151.582461276948
74.53958_-20.54631,158.879133516726
74.53958_-20.53068,166.359590297677
74.53958_-20.51505,163.472604938188
74.53958_-20.49942,163.795603198184
74.53958_-20.48379,173.643296348881
74.53958_-20.46816,171.326532483276
74.53958_-20.45253,176.774555453305
74.53958_-20.43690,171.590882024325
74.53958_-20.42127,172.770725289027
74.53958_-20.40564,167.827897317058
74.53958_-20.39001,165.926623171143
74.53958_-20.34312,157.369706350883
74.53542_-20.69718,149.191626112453
74.53542_-20.68155,149.237063116905
74.53542_-20.66592,146.450055035524
74.53542_-20.65030,151.755672344232
74.53542_-20.63467,150.928064503368
74.53542_-20.61904,154.308315598337
74.53542_-20.60342,158.082652738206
74.53542_-20.58779,160.259055859956
74.53542_-20.57216,156.656168027992
74.53542_-20.55654,156.893296598973
74.53542_-20.54091,157.918540889561
74.53542_-20.52528,155.507413298462
74.53542_-20.50966,154.089461551332
74.53542_-20.49403,163.391776720504
74.53542_-20.47841,175.945434116239
74.53542_-20.46278,175.248356697773
74.53542_-20.44715,177.511371046769
74.53542_-20.43153,172.878710651031
74.53542_-20.41590,163.61980939422
74.53542_-20.40027,167.598882451257
74.53542_-20.38465,173.217917835704
74.53125_-20.69174,153.829898044115
74.53125_-20.67611,147.509298764941
74.53125_-20.66049,149.330398486336
74.53125_-20.64487,152.662768594967
74.53125_-20.62925,153.272450595336
74.53125_-20.61362,155.273833223239
74.53125_-20.59800,160.420081844147
74.53125_-20.58238,160.448709415047
74.53125_-20.56676,154.479494218747
74.53125_-20.55114,157.03133564838
74.53125_-20.53551,149.15565119405
74.53125_-20.51989,149.417890093434
74.53125_-20.50427,156.916690213583
74.53125_-20.48865,162.806148863363
74.53125_-20.47302,172.710642455288
74.53125_-20.45740,177.987326729339
74.53125_-20.44178,176.69835030534
74.53125_-20.42616,171.957692404838
74.53125_-20.41053,166.735368233238
74.53125_-20.39491,176.678492266633
74.53125_-20.37929,173.889100035962
74.52708_-20.68630,156.749663490439
74.52708_-20.67068,156.460294459349
74.52708_-20.65506,156.397563821445
74.52708_-20.63945,156.776026397283
74.52708_-20.62383,156.270410548309
74.52708_-20.60821,157.205003325663
74.52708_-20.59259,160.408844585535
74.52708_-20.57697,157.147293910304
74.52708_-20.56135,144.257998348702
74.52708_-20.54574,146.758415010591
74.52708_-20.53012,151.647857734295
74.52708_-20.51450,150.598171765103
74.52708_-20.49888,155.425035063296
74.52708_-20.48326,160.812310569245
74.52708_-20.46765,170.152000660132
74.52708_-20.45203,176.362522044756
74.52708_-20.43641,177.704857029961
74.52708_-20.42079,179.547577066647
74.52708_-20.40517,178.122747813134
74.52708_-20.38955,176.292222377742
74.52708_-20.37394,171.561542730324
74.52292_-20.69648,157.0283351322
74.52292_-20.68087,155.911817710516
74.52292_-20.66525,158.988172228053
74.52292_-20.64964,161.959775124664
74.52292_-20.63402,161.056289778559
74.52292_-20.61841,158.605032459409
74.52292_-20.60280,161.611979008988
74.52292_-20.58718,155.69909518932
74.52292_-20.57157,150.381834580258
74.52292_-20.55595,149.486449122865
74.52292_-20.54034,152.090927673845
74.52292_-20.52473,154.241481959684
74.52292_-20.50911,153.440033161872
74.52292_-20.49350,152.482104129637
74.52292_-20.47788,156.72735319239
74.52292_-20.46227,169.054795117348
74.52292_-20.44666,169.723484508434
74.52292_-20.43104,170.368103589807
74.52292_-20.41543,174.641675086026
74.52292_-20.39981,176.291095839821
74.52292_-20.35297,157.479357333007
74.51875_-20.69105,156.317027115691
74.51875_-20.67544,155.309282013952
74.51875_-20.65983,158.418344102729
74.51875_-20.64422,161.8500905669
74.51875_-20.62861,161.40327308987
74.51875_-20.61300,163.244415051194
74.51875_-20.59739,163.514953925101
74.51875_-20.58178,160.916946244352
74.51875_-20.56617,156.979779357744
74.51875_-20.55056,157.761429666571
74.51875_-20.53495,155.905854927268
74.51875_-20.51934,157.503244090512
74.51875_-20.50373,157.892461325273
74.51875_-20.48812,155.721060458034
74.51875_-20.47251,155.302242883309
74.51875_-20.45690,164.942137453482
74.51875_-20.44129,164.793468489118
74.51875_-20.42568,167.96568610682
74.51875_-20.41007,170.515456422615
74.51875_-20.39446,173.963320724117
74.51875_-20.34763,153.445050106596
74.51458_-20.65440,157.118276459911
74.51458_-20.63880,159.91846787313
74.51458_-20.62319,161.745420970135
74.51458_-20.60759,163.748490335956
74.51458_-20.59198,163.687977452262
74.51458_-20.57637,162.742675657143
74.51458_-20.56077,161.751020659944
74.51458_-20.54516,159.024845741162
74.51458_-20.52956,158.845920324026
74.51458_-20.51395,158.952431253822
74.51458_-20.49835,157.105587185323
74.51458_-20.48274,152.018287885865
74.51458_-20.46713,150.285874316118
74.51458_-20.45153,155.801202123736
74.51458_-20.43592,170.405690470164
74.51458_-20.42032,174.065159606712
74.51458_-20.40471,174.515361668944
74.51458_-20.38910,173.110646959756
74.51458_-20.37350,167.235282939279
74.51458_-20.35789,160.570307597841
74.51458_-20.34229,158.130220512893
74.51042_-20.68019,161.504006769392
74.51042_-20.63338,158.612677850409
74.51042_-20.61778,161.514878838982
74.51042_-20.60218,163.758931423167
74.51042_-20.58658,163.709338287285
74.51042_-20.57098,160.214092876451
74.51042_-20.55537,158.393789646914
74.51042_-20.53977,158.584491216858
74.51042_-20.52417,160.522454695739
74.51042_-20.50857,159.47726375638
74.51042_-20.49297,150.499131139531
74.51042_-20.47736,145.097166703467
74.51042_-20.46176,147.014278739069
74.51042_-20.44616,159.981710933045
74.51042_-20.43056,165.789449864063
74.51042_-20.41496,171.97201604396
74.51042_-20.39936,172.141194582269
74.51042_-20.38375,167.438904374692
74.51042_-20.36815,153.854901644795
74.51042_-20.35255,150.938747122141
74.50625_-20.69036,158.666278404237
74.50625_-20.67476,158.585310075876
74.50625_-20.65916,157.50564103949
74.50625_-20.62797,156.334755438858
74.50625_-20.61237,155.132600440096
74.50625_-20.59677,162.535321221484
74.50625_-20.58118,159.635948100712
74.50625_-20.56558,158.645906709479
74.50625_-20.54998,157.646566425861
74.50625_-20.53438,157.45055035974
74.50625_-20.51879,155.817992537354
74.50625_-20.50319,154.041290956171
74.50625_-20.48759,148.611008047228
74.50625_-20.47199,147.366370288209
74.50625_-20.45639,149.505316332617
74.50625_-20.44080,159.420102993699
74.50625_-20.42520,164.821490750783
74.50625_-20.40960,167.550847977155
74.50625_-20.39400,167.420444059349
74.50625_-20.37841,158.895198798976
74.50625_-20.36281,149.272327448579
74.50625_-20.34721,150.112789332734
74.50208_-20.68493,156.483975341399
74.50208_-20.66934,158.560077333223
74.50208_-20.62256,156.808412756396
74.50208_-20.60697,157.3190016874
74.50208_-20.59137,157.209008628944
74.50208_-20.57578,158.590401183025
74.50208_-20.56018,158.070073546718
74.50208_-20.54459,157.567949344519
74.50208_-20.52900,155.404801178394
74.50208_-20.51340,153.303646140031
74.50208_-20.49781,155.686868005984
74.50208_-20.48222,152.6450994292
74.50208_-20.46662,151.626400730119
74.50208_-20.45103,157.770239674061
74.50208_-20.43544,157.665064078658
74.50208_-20.41984,162.435905340165
74.50208_-20.40425,163.449569377017
74.50208_-20.38866,162.048186857287
74.50208_-20.37306,159.026611327176
74.50208_-20.35747,151.875239245343
74.50208_-20.34187,149.807170185807
74.49792_-20.69510,153.850179318919
74.49792_-20.67951,153.546344957202
74.49792_-20.66392,156.501290851337
74.49792_-20.64833,154.777892170688
74.49792_-20.61715,157.830155566153
74.49792_-20.60156,158.900947392606
74.49792_-20.58597,156.716609408299
74.49792_-20.57038,157.322456796527
74.49792_-20.55479,157.41294258435
74.49792_-20.53920,158.033493897334
74.49792_-20.52362,157.571011156321
74.49792_-20.50803,160.527665824605
74.49792_-20.49244,157.040395008631
74.49792_-20.47685,156.680213243729
74.49792_-20.46126,162.913708171125
74.49792_-20.44567,163.796823352555
74.49792_-20.43008,164.67071049372
74.49792_-20.41449,163.927348420238
74.49792_-20.39890,165.46678229899
74.49792_-20.38331,161.178196507886
74.49792_-20.36772,159.498288409732
74.49792_-20.35213,159.464529345033
74.49375_-20.68968,150.723014556279
74.49375_-20.67409,151.265844116037
74.49375_-20.65850,151.396600717556
74.49375_-20.64292,152.195678679522
74.49375_-20.61175,155.830513046144
74.49375_-20.59616,157.595279618862
74.49375_-20.58058,157.86880733086
74.49375_-20.56499,159.053258445836
74.49375_-20.54941,157.935946067435
74.49375_-20.53382,156.845302069949
74.49375_-20.51824,158.190572061505
74.49375_-20.50265,158.944271116603
74.49375_-20.48706,157.980623896685
74.49375_-20.47148,161.52592735759
74.49375_-20.45589,168.595267466237
74.49375_-20.44031,167.812693988443
74.49375_-20.42472,164.882552351715
74.49375_-20.40914,164.231967224687
74.49375_-20.39355,164.18725836916
74.49375_-20.37797,162.782938678798
74.49375_-20.36238,160.910085240945
74.49375_-20.34680,163.213673724056
74.48958_-20.69983,162.516893037966
74.48958_-20.68425,149.363964511313
74.48958_-20.66867,145.662581818915
74.48958_-20.65309,148.303960161724
74.48958_-20.63751,149.873268000417
74.48958_-20.62193,152.443578446032
74.48958_-20.60635,152.232127444178
74.48958_-20.59077,155.221651246907
74.48958_-20.57518,156.096209406036
74.48958_-20.55960,157.572743784397
74.48958_-20.54402,158.096932745411
74.48958_-20.52844,157.438207861074
74.48958_-20.51286,158.421879627825
74.48958_-20.49728,158.948743657838
74.48958_-20.48170,159.735895716692
74.48958_-20.46611,163.823329269764
74.48958_-20.45053,164.945215111175
74.48958_-20.43495,168.263413708513
74.48958_-20.41937,162.749447930939
74.48958_-20.40379,157.774340871588
74.48958_-20.38821,161.379282003941
74.48958_-20.37263,160.239949990315
74.48958_-20.35705,165.659659483164
74.48958_-20.34146,164.024887502524
74.48542_-20.69441,162.199728158236
74.48542_-20.67883,153.889438518882
74.48542_-20.66326,143.141071333434
74.48542_-20.64768,146.384391406674
74.48542_-20.63210,153.396887083999
74.48542_-20.60095,153.534749037712
74.48542_-20.58537,153.454339915229
74.48542_-20.56979,155.189794927099
74.48542_-20.55422,157.101471858652
74.48542_-20.53864,157.747358609686
74.48542_-20.52306,157.012659427441
74.48542_-20.50748,159.319195388055
74.48542_-20.49191,159.723121101118
74.48542_-20.47633,161.614625227309
74.48542_-20.46075,165.356715616257
74.48542_-20.44518,165.944179829944
74.48542_-20.42960,169.391586837889
74.48542_-20.41402,166.2848405102
74.48542_-20.39844,157.55497702454
74.48542_-20.38287,160.513770915726
74.48542_-20.36729,163.897643831817
74.48542_-20.35171,160.342747796917
74.48125_-20.68899,154.275691522073
74.48125_-20.67342,154.785650833726
74.48125_-20.65785,148.850166376593
74.48125_-20.64227,151.869826181546
74.48125_-20.62670,153.757298045822
74.48125_-20.61113,158.125618356645
74.48125_-20.59555,156.137417167947
74.48125_-20.57998,154.449470442414
74.48125_-20.56441,156.722043023209
74.48125_-20.54883,159.411313551959
74.48125_-20.53326,159.295165493608
74.48125_-20.51769,159.144284962823
74.48125_-20.50211,159.851533540461
74.48125_-20.48654,160.935136528684
74.48125_-20.47097,164.553083018651
74.48125_-20.45539,165.170959121793
74.48125_-20.43982,165.876513494144
74.48125_-20.42425,164.682241632611
74.48125_-20.40867,161.876867320096
74.48125_-20.39310,161.935496519336
74.48125_-20.37753,159.830443731534
74.48125_-20.36196,158.994369548144
74.48125_-20.34638,158.1812476196
74.47708_-20.69914,155.718252300492
74.47708_-20.68358,150.971855537667
74.47708_-20.66801,154.27274626829
74.47708_-20.65244,152.88555491179
74.47708_-20.63687,151.290766396023
74.47708_-20.62130,153.996438091184
74.47708_-20.60573,157.545827880967
74.47708_-20.59016,158.415378489173
74.47708_-20.57459,157.455834067645
74.47708_-20.55902,156.670956419312
74.47708_-20.54345,160.472063453398
74.47708_-20.52788,160.775920736794
74.47708_-20.51232,160.500622362094
74.47708_-20.49675,159.894698695602
74.47708_-20.48118,160.351042526641
74.47708_-20.46561,162.971771744522
74.47708_-20.45004,164.571821128886
74.47708_-20.43447,162.420027463734
74.47708_-20.41890,161.680438389659
74.47708_-20.40333,159.137745845928
74.47708_-20.38776,160.897768060475
74.47708_-20.37219,160.448001852466
74.47708_-20.35662,159.11179335677
74.47708_-20.34105,161.437185168371
74.47292_-20.69373,159.845901220974
74.47292_-20.67816,156.34508566149
74.47292_-20.66260,157.093218577026
74.47292_-20.64703,154.595692593164
74.47292_-20.63147,152.937544065865
74.47292_-20.61590,153.318140140582
74.47292_-20.60034,156.803896191966
74.47292_-20.58477,160.698667648004
74.47292_-20.56921,156.313263295105
74.47292_-20.55364,157.743284025125
74.47292_-20.53808,160.557012231298
74.47292_-20.52251,160.616923393642
74.47292_-20.50695,161.245482721174
74.47292_-20.49138,159.68706173225
74.47292_-20.47582,159.295313032218
74.47292_-20.46025,164.682234863835
74.47292_-20.44469,165.35760555182
74.47292_-20.42912,165.117233359221
74.47292_-20.41356,162.048504836702
74.47292_-20.39799,162.727695443377
74.47292_-20.38243,162.538078907154
74.47292_-20.36686,162.313136563702
74.47292_-20.35130,163.969840384375
74.46875_-20.68831,156.194623934375
74.46875_-20.67275,156.832778334319
74.46875_-20.65719,159.216483499728
74.46875_-20.64163,154.478087315149
74.46875_-20.62607,156.523197352812
74.46875_-20.61051,151.652338972981
74.46875_-20.59495,154.422897314042
74.46875_-20.57938,151.980504099633
74.46875_-20.56382,153.448608529374
74.46875_-20.54826,160.014189144698
74.46875_-20.53270,161.922829169152
74.46875_-20.51714,161.682926716932
74.46875_-20.50158,161.943435832576
74.46875_-20.48602,160.776883776731
74.46875_-20.47046,160.310225586393
74.46875_-20.45490,163.473951413084
74.46875_-20.43934,163.829672746412
74.46875_-20.42378,163.501657005302
74.46875_-20.40821,162.072920004429
74.46875_-20.39265,162.538459614488
74.46875_-20.37709,163.990878245929
74.46875_-20.36153,164.437084134274
74.46875_-20.34597,166.903473439126
74.46458_-20.65179,169.059591892941
74.46458_-20.63623,164.62061580558
74.46458_-20.62067,160.502243047817
74.46458_-20.60512,150.352699195227
74.46458_-20.58956,147.125052566927
74.46458_-20.57400,147.960291113325
74.46458_-20.55844,152.941454467425
74.46458_-20.54289,163.101212111525
74.46458_-20.52733,164.656440691511
74.46458_-20.51177,162.777228691614
74.46458_-20.49622,162.160389726362
74.46458_-20.48066,160.424428587666
74.46458_-20.46510,160.882557130739
74.46458_-20.44955,162.043004783156
74.46458_-20.43399,163.723775544357
74.46458_-20.41843,162.427722429664
74.46458_-20.40288,160.826985220324
74.46458_-20.38732,162.05456960176
74.46458_-20.37176,165.766383191737
74.46458_-20.35620,165.148716494411
74.46458_-20.34065,166.914624125131
74.46042_-20.58417,157.155454505647
74.46042_-20.56862,158.132000492925
74.46042_-20.55307,159.033285299773
74.46042_-20.53751,163.97713222881
74.46042_-20.52196,166.291434130126
74.46042_-20.50641,164.816230485602
74.46042_-20.49086,163.078070301814
74.46042_-20.47530,163.732537583737
74.46042_-20.45975,162.187110699858
74.46042_-20.44420,160.437147706983
74.46042_-20.42865,158.240884308218
74.46042_-20.41309,158.965394612369
74.46042_-20.39754,158.336328142032
74.46042_-20.38199,162.163862050608
74.46042_-20.36643,167.86776374574
74.46042_-20.35088,166.916817245777
74.45625_-20.45440,164.114403421683
74.45625_-20.43885,159.247185122323
74.45625_-20.39221,163.714460286723
74.45625_-20.37666,166.553952255377
74.45625_-20.36111,167.004095874517
74.45625_-20.34556,169.737783217217
74.45208_-20.44906,162.690791332057
74.45208_-20.43351,161.608526806932
74.45208_-20.38688,165.823412621135
74.45208_-20.37133,165.992926915071
74.45208_-20.35579,169.2410898023
74.45208_-20.34024,171.812245602221
74.44792_-20.38155,165.049244453312
74.44792_-20.36601,165.547117626397
74.44792_-20.35047,167.050473890138
74.44375_-20.36069,168.042631570474
74.44375_-20.34515,164.723603791678
74.53958_-20.37438,163.905466459731
74.53958_-20.35875,162.488469234382
74.53542_-20.36902,178.602202549877
74.53542_-20.35339,162.110472465216
74.46458_-20.69846,157.244733613697
74.46458_-20.68290,161.89190357219
74.46458_-20.66734,164.203511710867
74.46042_-20.69304,163.877823873269
74.46042_-20.67749,175.969158450017
74.45625_-20.42330,156.853297891136
74.45625_-20.40776,158.077899909849
74.45208_-20.41797,164.547702309727
74.53125_-20.36367,169.932003124519
74.53125_-20.34805,162.69747650474
74.52708_-20.35832,167.334731837185
74.52708_-20.34270,159.945405146428
74.52292_-20.38420,175.284042274091
74.52292_-20.36859,167.059920947543
74.51875_-20.37885,168.88610107318
74.51875_-20.36324,162.725511669134
74.45625_-20.54769,170.36356879026
74.45625_-20.53215,172.627627409568
74.44792_-20.44371,164.636989150032
74.45625_-20.56324,166.069381600593
74.45625_-20.51660,172.300291750593
74.45625_-20.46995,169.205588693337
